id,title,description
553,ICE / AFTER CRYING KIM,"Automatically starts after Acele's dialogue ends with her line ""Crying is good. Get it out and then maybe we can talk, okay?"""
554,ICE / NOID,Noid dialogue -- happens mostly inside church.
555,ICE / TENT FLAP,Entering the tent and leaving Kim behind.
556,ICE / ACELE AND ASSOCIATES,"this is where the ""ask about acele's associates"" and ""what's your name"" branches are located."
557,ICE / ACELE ON ICE,"this is where the ""recording device"", ""what are you doing here on the ice?"" and ""questioning"" branches are located."
558,ICE / ACELE CHURCH STUFF,"this is where ""the drug lab plan conclusion"", ""what did you see in the church"" and ""what's your plan for the church"" branches are located"
559,ICE / ANDRE TENT CONTENT,"this is where andre's dialogues about the ""church/padlock"", ""who are inside the church"" and ""tent equipment"" are."
560,ICE / KIM POST TENT barks,Kim barks after you have RETURNETH from the TENT.
561,ICE / KIM CHURCH barks,Kim reacts to the church getting shot up by the police a few months ago. Creates question option in Kim Main Dialogue.
562,ICE / EGGHEAD,Side-dialogue. Has the Physical Instrument check that makes Andre's Composure dance check easier and initiates the TO:DO - Make Van Eyck's jam more hard core
563,ICE / KIM RACISM FINAL TALK,"You failed the red check to get Kim to dance, and now you have to try to make amends or lose Kim's friendship forever."
564,ICE / ANDRE,Talking to the speedfreaks' leader
565,ICE ORB / kickdrums,A kick drum pulse. The music is coming from somewhere on the ice.
566,ICE ORB / church street sign,"The sign reads: ""Saint-Brune 1147."""
567,ICE ORB / church street sign reaction,The same address the lead programmer of Fortress Accident was looking for...
568,TENT ORB / speaker,A speaker. The big kind they use for live music.
569,TENT ORB / sweatsmell,Smells like sweat and laundry detergent. Plus a trace of ether.
570,TENT ORB / engine starting fluid,"""Coupris L'Ange"" engine starting fluid."
571,TENT ORB / water canisters,"Canisters filled with what appears to be water. The label says ""Distilled."""
572,TENT ORB / nosaphed sprays,"A pile of nasal sprays. Brand name: ""Nosaphed Ultra."""
573,ICE / ETERNITE,"this dialogue for pushing over eternite for you know very darksoulsy shortcut, yes, gut design."
574,ICE / CHURCH DOOR,Initiating the Get Into The Church TO-DO
575,TENT ORB / stickers,Stickers -- just like the one from the church padlock.
576,ICE / ANDRE WHITE CHECKS,"this is where andre's two white checks are -- ""try to logic and figure out what they're hiding/planning"" and ""JUST DANCE"""
577,ICE / ACELE barks,"Things Acele says, when on ice."
578,ICE / EGGHEAD barks tent,"Things egghead says in the tent,"
579,ICE / NOID barks,Things Noid says inside the church.
580,ICE / ANDRE barks,Things Noid says inside the church.
581,ICE / SOONA barks,Things Noid says inside the church.
582,ICE ORB / eternite logic,"Before you, a drawbridge. It can only be lowered from the other side."
583,ICE / ACELE,"Lead-in to the speedfreaks, out on the ice"
584,LANDS END / NETPICKER,"A dialogue featuring you, Kim, Lilienne the Netpicker, about the sun (if it's rising, setting or high in the sky) -- what the sun is, what means. THE SETTING SUN"
585,LANDS END ORB / cigarette butts,"Cigarette butts, cleaned away under a rock: brand Tioumoutiri."
586,LANDS END ORB / rickety ladder,This ladder is too rusty to climb. The sea air has eaten away at it.
587,LANDS END ORB / campfire remains,"Someone's made a campfire here, a long time ago."
588,LANDS END ORB / lands end shot viscal,the conclusion dialogue where you conclude the shot did not come from land's end. this fires only if you have  TASK.check_lands_end
589,LANDS END ORB / depot chain,The chain trails off into the ocean -- to who knows where.
590,LANDS END / DEPOT DOOR,The door to the jammed supply depot near Land's End. The door is jammed and locked. You can't open it. EVER.
591,LANDS END ORB / cigarette mental note,You take a mental note: Tioumoutiri. Seems important somehow.
592,LANDS END / ladder afterthought,This relay tower coordinates boat traffic in the bay -- barely.
593,PLAZA / RENE,"René is in the shade, the forlorn option who's losing at the game."
594,PLAZA ORB / gaston cheating,Cheating!
595,PLAZA / RENE barks,Playing pétanque.
596,PLAZA / GASTON barks,Playing pétanque and cheating.
597,PLAZA / GASTON,"Florid and jolly, Gaston Martin is standing in a sunspot and loudly eating a giant ham sandwich."
598,PLAZA / RENE CASE MONEY RAT,Asking about the case and discussing women.
599,PLAZA / RENE WC HERO STORY,Red check to impress René with a hero-story of your own.
600,PLAZA / GASTON CHEATING,"* Rat or don't rat out cheating Gaston
* What Game is this?"
601,PLAZA / GASTON CASE,The Case
602,PLAZA / GASTON SANDWICH WC,Sandwich orgy
603,INVENTORY / GIANT HAM SANDWICH,Eating Gaston's ham-sandwich.
604,PLAZA / RENE PETANQUE,René pétanque-ball RC.
605,PLAZA / RIVER CRATER,You ask René about crater and get the streamlined history lesson without any messy checks or hubs within hubs withing hubs. Sweet and short.
606,PLAZA / GASTON rene dead barks,René has passed away and Gaston is sitting on a bench.
607,PLAZA ORB / neither man clicked,"An orb to appear on the fifth day (or after triubnal) and address the disappearance of the pétanquista, if the player hasn't talked to either of them."
608,WHIRLING / SLEEPING DOCKWORKER,"Downstairs at the Whirling In Rags there's a sleeping dockworker. Interfacing people can steal his wallet and work pass, Phys inst can wake him up by yelling and then get some info on the Union and the strike."
609,WHIRLING F1 / GORACY KUBEK,"A dialogue with a kojko cook Gorący Kubek. He doesn't speak a word from your language, but for some reason understands all your questions about disposing the corpse??"
610,WHIRLING F1 / STEEL DOOR,The steel door in the back of the kitchen. Leads to the storage area with the elevator.
611,WHIRLING F1 ORB / stew,"An aroma of spices, alcohol, and tomato hangs in the air..."
612,WHIRLING F1 / INDUSTRIAL STOVE,You can use the stove to boil the hanged man's boots when Kim is not around.
613,FRITTE / FRITTE CLERK,A dialogue with a bored teenage girl who works as a shop clerk.
614,FRITTE / TARE MACHINE,Right next to the glass-doored fridge.
615,FRITTE / KNICK-KNACKS STAND,The counter.
616,FRITTE / APOTHECARY,"A small cabinet on the wall, right next to the posters."
617,FRITTE / SHIMMERING WALL OF VICES,Alcohol + cigarettes behind the counter.
618,FRITTE ORB / windowflowers,Yellow roses. Dozens of them. Tulips too.
619,FRITTE ORB / notthesameflowers,The yellow roses in the window -- those aren't the flowers that were left for Klaasje.
620,FRITTE ORB / noentry,The sign says: 'Employees Only.'
621,FRITTE ORB / radio plays,A melancholy pop song plays on the radio.
622,VILLAGE / JUDIT MINOT barks,your old posse; formerly: horse faced woman
623,VILLAGE / TRANT HEIDELSTAM barks,your old posse. formerly near FELD electrics building with his kid
624,VILLAGE / POSSE,"It's time to face your colleagues. 

This is the dialogue that autostarts once you step to the villlage square, the others just bark and stand there."
625,VILLAGE / POSSE 2,the defence part with the big defence hub etc
626,VILLAGE / POSSE 3,the end where you ask your final questions.
627,WHIRLING / DREAM1,"Adrift in an alcohol induced oblivion, the faculties of your mind speak to you."
628,WHIRLING / CEILING FAN,The ceiling fan is spinning like the blades of some rickety old airship about to fall on you. A truly horrendous neck-tie has somehow attached itself to one of the blades.
629,WHIRLING / BATHROOM MIRROR,"A mirror hangs on the bathroom wall, above a bent and broken sink."
630,WHIRLING F2 ORB / hearing kineema,An infernal machine comes to a halt somewhere outside.
631,WHIRLING F2 ORB / trashed tape player,"This reel-to-reel tape player is still on, rolling empty."
632,WHIRLING F2 ORB / locked door,You must value privacy. The door has been locked from the inside.
633,WHIRLING F2 ORB / piles of tape,Looks like someone tore out the tape while the song was playing.
634,WHIRLING F2 ORB / bathroom smell,Words fail to describe how rank it smells in here. They should have sent a poet.
635,WHIRLING F2 ORB / calendar,The calendar says it's March. The year is '51.
636,WHIRLING F2 ORB / dialogue pants,These are your sleek pants. Put them on and find THE KEY to get out of your room.
637,WHIRLING F2 ORB / commodore red,"This magnum-sized bottle of ""Commodore Red"" is empty."
638,WHIRLING F2 ORB / bath,"You see bottles in the bathtub: wine, beer and sweet liqueurs."
639,WHIRLING / STAIRWAY / 2TO1,
640,WHIRLING F2 / BROKEN WINDOW VISCAL,A medium Viscal sees the shards are facing outwards.
641,INVENTORY / LELY TAPE,"tape now interactable in inventory, if you have the boombox. Lely-Kortenaer banter for interrogate Klaasje sequence"
642,WHIRLING / BATHTUB,You can take a bath and wash that corpse stench off.
643,WHIRLING F2 / TAPE PLAYER,"You can click on tape player -- it has broken down while you were gone. Can't listen to any tapes now, best you find a new one from Roy."
644,WHIRLING F2 ORB / messy room after lely tape,Kim's reaction to the mess in your room after you've listened to tape and he was present etc.
645,WHIRLING F2 ORB / kim in your room,Kim tries not to look at your broken down bathroom door.
646,WHIRLING F1 / ELEVATOR,"1. You experience the lovely elevator and wonder what it was used for.
2. You can go up and down."
647,WHIRLING F1 ORB / franconigerian conquest pinballer,This pinball says 'Franconigerian'. The theme is horses and swords.
648,WHIRLING F1 ORB / mysterious woman pinballer,This pinball is 'White Deora'. The backglass shows a female figure in mourning.
649,WHIRLING F1 ORB / play pinball,"1. Let's play pinball.
2. Kim ""Pinball"" Kitsuragi back story."
650,WHIRLING F3 ORB / tools,Boxes of tools and replacement parts line the shelves.
651,WHIRLING F3 ORB / peephole shivers,"1. Doomed felt.
2. This is not just a hole -- this is a peephole."
652,WHIRLING F3 ORB / small perforation,There's a tiny hole in the wall. You see a bedroom on the other side.
653,WHIRLING F3 ORB / pinball workshop,"1. This was a pinball workshop.
2. Was the Whirling-in-Rags part of the doomed commercial area task gained."
654,WHIRLING F3 / FOOTPRINTS IN THE DUST,"1. See tracks from what seem to be boots.
2. Reveals not odd-soled if you return after suspecting Ruby. (Anti-red-herring.)"
655,WHIRLING F1 / KIM FIRST VISIT barks,Kim doesn't like pinball.
656,WHIRLING F3 / BARRED DOOR INSIDE,"From the inside, the door opens easily."
657,WHIRLING F3 ORB / gutted pinball machine,The pinball machine has been taken apart and gutted.
658,WHIRLING F3 ORB / boxes,"Small windows, taped shut with black plastic. You can't see outside."
659,WHIRLING F1 ORB / note about key,"A note: ""NB! The spare key is tied to the bush outside the corner room window!"""
660,WHIRLING F1 ORB / note about key logic,So there was a key in the Union box? Dammit...
661,WHIRLING F1 ORB / schematics,Schematics for a pinball machine -- futurism themed.
662,LAIR ORB / dark celebration,An afterthought to Ruby's scene whether she kills herself or runs away.
663,PLAZA ORB / spirit bomb ready,A thought orb to pop up just before the Mercenary Tribunal
664,LAIR ORB / dark celebration 2,An afterthought to Ruby's scene whether she kills herself or runs away -- exists outside Ruby by Rosemary as redundancy
665,BOARDWALK / WCH,Dead working class husband who has fallen through the blanks and cut himself open and it's generally a very gruesome and sad death.
666,INVENTORY / LIBRARY CARD,dead working class husband library card
667,BOARDWALK ORB / dangerous boardwalk,Careful there... These floorboards look rotten and weak.
668,BOARDWALK / TRASH CAN,A TRASH CAN OH BOY. Its an interaction.
669,BOARDWALK ORB / coin-operated viewer,This coin-operated viewer has been out of order for years.
670,BOARDWALK / REPORTING TO KIM,If Kim wasn't with you when you first discovered the body then you're going to have to tell him about it. (Jumps here from Kim's main; then jumps back).
671,BOARDWALK / coin op vertigo,Stop messing with the coin-viewer and hold on to something. The wind is so strong...
672,SEAFORT DREAM ORB / door is unopened,"The door is back, like you never opened it..."
673,SEAFORT DREAM ORB / door is still here,"The door is still here, closed. Feels strange somehow. You can't get in."
674,SEAFORT DREAM ORB / step into water,Walk into the water. Now.
675,SEAFORT DREAM ORB / really step into water,Now do it -- walk into the *water*.
676,DREAM SEAFORT / DOLORES DEI,She's crossing the street in the water. Click on her
677,DREAM SEAFORT / NO DOLORES DREAM,This is the consolation dream if you did not get to see stained glass window inside church
678,SEAFORT DREAM ORB / door is back kim,"...the lieutenant is no longer here. Go outside, to the beach."
679,SEAFORT DREAM ORB / door is back cuno,"...the kid is no longer here. Go outside, to the beach."
680,SEAFORT DREAM ORB / door is back solo,"...something is different. Go outside, to the beach."
681,SEAFORT DREAM ORB / on beach,"Go down to the chain, there's something there..."
682,SEAFORT DREAM ORB / in water,Further...
683,WHIRLING F2 / KLAASJE 1,A striking young woman in a silver body-suit smokes in the hostel hallway. She addresses you as if you were a police officer. You may use your finger pistols for a SUGGESTION red-check. Failure gives you some forewarning about what's going on.
684,WHIRLING F2 / KLAASJE Barks,
685,WHIRLING F2 ORB / ashtray,Looks like she left a nice long stub in the ashtray. It's still smoking.
686,WHIRLING F2 ORB / dialogue cigarette stub,ashtray dialogue / TASK find smokes
687,WHIRLING F2 ORB / trompe le monde,"This is the weekend edition of the satirical newspaper ""Trompe le Monde""."
688,WHIRLING F2 ORB / balcony door,A sign on the door says the balcony is closed for spring.
689,WHIRLING F2 / KLAASJE DOOR,When the dialogue with Klaasje is over you can go and click and her door.
690,WHIRLING F2 / RADIO barks,A radio tuned to an interisolar weather-station.
691,WHIRLING F2 ORB / trompe le monde afterthought,Nothing on the front page rings a bell. Strange...
692,WHIRLING F2 ORB / MONEY,There's something on the table...
693,YARD ORB / trash container logo,"The letter ""R"" wears a crown. On the ribbon below: ""A Light Above Descending."""
694,YARD ORB / tree ladder,This kids' ladder is rickety but still climbable.
695,YARD ORB / ladder logic,The ladder's for kids -- it wouldn't hold the weight of a grown man.
696,YARD ORB / greenhouse,Someone is trying to grow herbs in this greenhouse.
697,YARD / TRASH,You can click on the trash container. This lets you see the padlock has a Whirling-in-Rags logo on it -> go to Garte -> ask for key -> open container - > get your paperwork
698,YARD ORB / logo trivia,This is the logo of the Municipality of Revachol.
699,YARD / FOOTPRINTS VISCAL,"Easy perception shows prints. Then a medium VISUAL CALCULUS reveals a numbered scheme of footprints. Interaction with the scheme lets you deduce how many vigilantes there were at the hanging, when it happened etc."
700,YARD ORB / death smell,Smells like spoiled meat and curdled dairy. A human being decomposes.
701,INVENTORY / FRACTURED BULLET,"By inspecting the bullet, you can find out that:
1. The bullet came from a breech-loaded rifle.
2. The bullet was shot from some distance, so this was probably not a mercy kill (white check.)
3. The rifle used was a model mass-produced during the revolutionary war, and the surplus rifles/ammo are still a favourite with third-world guerrillas and Jamrock bangers."
702,YARD ORB / winch,This winch mechanism has been oxidizing for some years.
703,YARD / HANGED MAN BOOTS,"If Kim is not there, you can take off the boots once the body is down."
704,INVENTORY / PHOTO OF TATTOOS,instant photo of the hanged man's tattoos by Kim Kitsuragi
705,LEDGER WAKEUP,"Woke up, bro."
706,YARD / HANGED MAN AUTOPSY,"This is phase two of the hanged man, after getting him down. 
1. Kim performs autopsy
2. More talk with inland"
707,INVENTORY / BOOTS WITH ROTTING FLESH,You can look at these boots closely if you dare.
708,YARD / HANGED MAN,"A corpse hangs from the pine-tree: a middle aged man in white armour boots and tighty whities. A medium PERCEPTION white-check lets you find a bullet hole in the back of his mouth, a low LOGIC white check that he was killed before hanging. A low THOUGHT CABINET w-c sees that the bullet is antique."
709,INVENTORY / MUG,
710,YARD / HANGED MAN BULLET,"This is the final phase of the hanged man:
1. White check to find bullet
2. Failure to find fridge
3. Bagging him and taking it away"
711,INVENTORY / LEDGER OF FAILURE,"Perform a closer inspection of the ledger found in the trash (your official paperwork). Find:
1. serial number
2. forms
3. notes on cases
4. wife's letter
5. toilet smell"
712,SOUTHCOAST / SUNKEN MOTOR CARRIAGE,Tyre tracks lead to a sunken motor carriage.
713,COAST / KIM barks,Kim makes a note of the abandoned building in the little yard in COAST
714,COAST ORB / abandoned yard,The wind is corralled by the four-story buildings around this yard.
715,COAST ORB / footprints,A set of disorderly footprints heading Southeast.
716,COAST ORB / footprints conclusion,Seems the walker was either very confused or drunk out of his mind.
717,INVENTORY / BADGE,Your lost badge.
718,CANAL / SAMARAN BUTTER SIGN VISCAL,You find tire tracks indicating that a car leapt over the canal.
719,PAWNSHOP / ROY,"You talk to Roy, the pawnbroker, about items you'd like to sell, your missing side arm, his drug habit, the People's Pile, and/or the traffic menace."
720,PAWNSHOP / SAWED-OFF STREET LIGHT,You look at and ask Roy about a street light.
721,PAWNSHOP / TABLE OF KNICKKNACKS,You look at and ask Roy about the figurines on the accessory stand.
722,CANAL ORB / pawnshop sign,Roy's Pawnshop. Fast Cash for Faster Times.
723,PAWNSHOP ORB / bulletglass,The counter is partially encased in bullet-resistant acrylic glass.
724,PAWNSHOP / ROY barks,Roy greets you.
725,PAWNSHOP ORB / back room clothes rack,"Mostly military wear, with a few more eccentric fashions thrown in."
726,PAWNSHOP / KIM FIRST VISIT barks,Kim wants to talk to you.
727,KIM SWITCH / PAWNSHOP,Kim suggests you can get money by selling things here.
728,CANAL ORB / swallows,The spirited chirps and clicks of swallows fill the air.
729,PAWNSHOP / KIM GLASS barks,Kim reacts to you clicking on the glass.
730,PAWNSHOP ORB / projector,"In the dark, a film projector is whirring away."
731,PAWNSHOP / SHELF OF BOOMBOXES,You look at and ask Roy about the boombox.
732,KIM SWITCH / SAMARAN BUTTER,Kim asks you what you think might have happened at the canal.
733,PAWNSHOP / RACK OF SECOND-HAND UNIFORMS,You look at and ask Roy about the Man from Hjelmdall T-Shirt.
734,CANAL / MAN ON WATER LOCK,A man is eating salami on the water lock.
735,CANAL / MAN ON WATER LOCK barks,Barks for the Man on Water Lock.
736,CANAL / BARRY barks,Barry the Butcher barks.
737,CANAL ORB / waterlock sign,WATER LOCK OUT OF ORDER UNTIL WEDNESDAY 7.15 AM.
738,CANAL / WORKER barks,Barks for workers loitering by the canal after fixing the water lock.
739,CANAL / HAWTHORN,"The hawthorn tree on Rue de Saint-Ghislaine. A reel of bronze magnetic tape is caught in its branches. It's a part of Egg Head's ""make the music harder core"" task. Interfacing White Check to get it."
740,CANAL / WATERLOCK LEVER,this is the button-switch-lever-thing that closes the waterlock once it's been fixed on day 3
741,PAWNSHOP ORB / grimwoman,A bust of a woman. The plaque simply says DEI.
742,CANAL ORB / waterlock sign afterthought,Is this the water lock Lena mentioned?
743,PAWNSHOP ORB / cashregister,Some kind of machine. An antique cash register?
744,PIER ORB / yellow boat,The belly of this boat shines like it was recently painted.
745,PIER ORB / street sign south,Rue de Saint-Ghislaine -> Roundabout North
746,PIER ORB / plaque,Docking reserved for residents of: Rue de Saint-Ghislaine 33A
747,PIER ORB / post in water,"Looks like there was more construction here -- once, decades ago."
748,PIER ORB / street sign north,Capeside Apartments
749,PIER ORB / inland beautiful,Shadows on the water... green plants under the calm surface.
750,PIER / JOYCE INTRO,"Joyce is on her boat. She welcomes you and tells you about the situation, her role in it, what happened w hanged man.
1. Finishes task: find wild pines rep
2. Finishes task: reality lowdown
2. Gives task: investigate traffic jam
3. Volition white to get 130 real"
751,PIER / JOYCE LYNCHING AND TATTOOS,"The lynching hub
The tattoos hub"
752,PIER / CINDY,"You run across an aspiring graffito artist. She can serve as an introduction to Joyce, and also tells you a little about crime in Martinaise. You can get a brush from her to use on the mother of all walls, and an idea for what to use as paint."
753,KIM SWITCH / JOYCE DRUGS,Little talk to Kim where he discusses undertaking the jam mystery w you
754,JOYCE / REALITY TIMES,"Times part of hub, solves TASK.reality lowdown"
755,PIER ORB / steeringwheel,Your room in the Whirling isn't much bigger than this sloop.
756,PIER ORB / tilesoftheplazathought,"The sea breeze carries more than salt: meat. Not rotten, not fresh; grilled."
757,PIER ORB / bustedupwalkwaythought,"One wrong step is death, right? Probably death. (This is a conversation with VisCalc on the state of the ruin.)"
758,PIER ORB / yachtthought,This is worth more than you'll ever earn in all your life.
759,PIER ORB / insideofagarage,"Inside, the frame of a motorcycle-in-repair and the tools used to disassemble it."
760,PIER ORB / searails,This is an afterthought dialogue with VisCalc.
761,PIER ORB / tarp,"Above, tarps flap in the wind. Forgotten hammers and nails rust."
762,PIER ORB / lockrusted,The lock is rusty. You can't get in.
763,PIER ORB / lockrustedthought,The chair's new. Someone lives back here.
764,VILLAGE / JOYCE,Joyce has sailed to village once you're looking for instigator. She's talking to net picker about sailing. Extra content about village and why she sailed there. GREETING HERE!
765,PIER ORB / joyce gone note,"*Went to the village on the coast, officer. See you there! -- Joyce* says the note on the post."
766,PIER / JOYCE REALITY HUB,Reality hub
767,PIER / JOYCE ON EVRART,EVRART HUB and all such relevant information. Also tells you Discovery of Insulinde story.
768,PIER / CINDY BARKS,Barks for Cindy the skull for when you haven't talked to her *AND* you're approaching her from below.
769,PIER ORB / cormoran,"A lonely cormorant surveys the sea, indifferent to your approach."
770,PIER ORB / paint origin,There's a girl up there -- did she spill the paint?
771,WHIRLING F2 / KIM WAKEUP,If you succeeded the final Authority check to warn Kim.
772,WHIRLING F2 / CUNO WAKEUP,If you didn't make the authority check.
773,WHIRLING F2 ORB / fixed window,"Newly replaced glass, shining in the morning light."
774,WHIRLING F2 ORB / fixed stereo 8,This Stereo 8 player has been reunited with its right speaker.
775,WHIRLING F2 ORB / fixed bathtub,You see gleaming white enamel. No bottles inside...
776,WHIRLING F2 ORB / traffic outside,You hear traffic outside. Back in the world again...
777,WHIRLING F2 ORB / unmade bed,The bed still smells of your sweat and blood.
778,WHIRLING F2 ORB / alarm clock,The alarm is set for 6:50 AM.
779,WHIRLING F2 ORB / kims room door open,Look! The door is open! You can walk right into Kim's room.
780,WHIRLING F2 / KIM PAPERWORK,checking out some of kim's official paperwork on his room desk
781,WHIRLING F2 ORB / first aid,"Medicinal supplies on the cupboard: Merchurochrome, a scalpel, antibiotics..."
782,WHIRLING F2 / KLAASJE'S NOTE,She's left you a note on her table
783,PLAZA / GRAFFITO,"There's a giant graffito on the plaza outside:
Un jour je serai de retour près de toi"
784,WHIRLING F1 / TITUS ALAIN AND EUGENE,Dialogue with Hardie and the surviving boys
785,WHIRLING F1 / EUGENE AND ALAIN,A dialogue with Eugene and Alain after Titus got killed in the Tribunal
786,WHIRLING F1 / EUGENE barks post tribunal,barks for Eugene as Titus did not get shot
787,WHIRLING F1 / Alain barks post tribunal,barks of Alain as Titus did not get shot
788,WHIRLING F1 / Alain 2 barks post tribunal,barks for Alain if Titus got shit in tribunal
789,PARTY / CUNO MAIN,CUNO'S main hub inside whirling and on the island. It's like KIM MAIN
790,WHIRLING F2 / note orb,Looks like she's left something on the table...
791,WHIRLING F2 ORB / leg hurts dont run,"Ouch, that leg hurts... maybe if you don't *run* it'll be okay?"
792,JAM / RACIST CABIN,You can view the racist lorryman's cabin to get a load of his racist paraphernalia.
793,KIM SWITCH / RACIST KITSURAGI,Dialogue about if you are down the racism. Triggers some distance after leaving the lorry driver (it's hooked up to the Kim switchboard).
794,JAM / INSTIGATOR CABIN,The Instigator is gone but you can still explore the cabin of her abandoned vehicle. This yields some MAJOR foreshadowing.
795,DELETE THIS FOLDER,delete
796,DELETE THIS FOLDER,delete
797,JAM / HUMANITARIAN AID,"Siileng, the humanitarian aid guy!"
798,JAM ORB / broken security seals,The lead seals that secure the goods have been broken off.
799,JAM ORB / hum aid macaronis,"Plastic-wrapped macaronis stamped with ""Humanitarian aid""."
800,JAM / faln sneakers on a pedestal of speakers,
801,JAM ORB / humanox,"A bold slogan ""HUMANOX"" covers the truck."
802,JAM ORB / logic orb,logic afterthought about the humanitarian guy being all suspicious and whatnot
803,JAM ORB / hum aid tunafish,"This says: ""Humanitarian Aid Tunafish. NOT FOR RESALE"""
804,JAM ORB / hum aid speakers,"This says: ""Speakers From The People Of Samara"""
805,JAM ORB / hum aid food,"This says: ""Food Gift From The People Of MESSINA""."
806,JAM / box of clothes,
807,JAM / RACIST barks,"barks for the bark god, blood for the blood throne!"
808,JAM ORB / cargohold,Goods from the lorry haphazardly litter the surroundings.
809,JAM ORB / tendetectives,"A glossy magazine: ""Most Able-Bodied Men"". This issue hosts a top 10 list."
810,JAM ORB / detectivethought,"Oh, no! They're *much* hunkier than you!"
811,JAM ORB / trash bin,"A sticker on the bin reads: ""RCM Emergencies Desk no 8-100-2. Mankind, be vigilant!"""
812,JAM ORB / frittethought,Three Ts! How idiomatic.
813,JAM ORB / frittestore,FRITTTE (SIC!)
814,JAM / box of sun glasses,
815,JAM ORB / fuckoffafterthought,Afterthought dialogue if you told the lorry driver to fuck off.
816,KIM SWITCH / LORRY CONCLUSIONS,"A post-lorry-search dialogue with Kim, going over the necessary information and coming to some conclusions."
817,JAM ORB / inland warns about lorryman,This guy looks like trouble. Better ignore him for now.
818,JAM ORB / dlc truck,Those are some big letters on that truck.
819,JAM ORB / detritus,Ruins full of snow. No one lives here anymore.
820,JAM ORB / ruinedwindow,Footfall within. Not human.
821,JAM ORB / drawbridge,A helpline to the company that controls the drawbridge.
822,JAM ORB / sewergrate,"Hot air rises up from the sewer: sour, acidic and strangely comforting."
823,JAM ORB / fountain,An ancient fountain. It doesn't pump water anymore. There's a tree in it.
824,JAM ORB / roachthought,Only a dog and no more.
825,JAM ORB / phasmidthought,"Up there? The phasmid, perhaps? No... you know it's but a dog."
826,JAM ORB / beneaththestreetthought,A sewer grate: a gateway to the river of filth.
827,JAM ORB / seconddetectivethought,You shouldn't feel threatened by handsome men. Don't be silly.
828,JAM ORB / newmagazine,JUMP JAMS! -- A populaire Musique Mag.
829,JAM ORB / largecab,"Empty, but for cigarette ash and the crumbs of fried foods."
830,JAM ORB / stas-rajko,You can examine and appreciate this car with Kim.
831,JAM ORB / pagetwothought,A conversation with EletroChem that encourages you to commit an act of public indecency for Superstar point
832,JAM ORB / sliverofthenewspaperongrate,Scribbled between the thighs of a page-three girl: *L’ORIGINE DU DISCO*
833,JAM ORB / foreigncar,A foreign car. Kept in good condition.
834,JAM / PALEDRIVER,"A small, old, shrivelled up mesque woman with thinning hair sits awkwardly on the ledge of a lorry. An empty, glazed look adorns her eyes. She murmurs while nodding her head to the music coming from a radio in her lorry cabin. She wears a squared truck-driver flannel shirt with sleeves wrapped up to her elbows and blue denim dungarees tucked in yellow-brown (Caterpillar) boots."
835,JAM ORB / cigaretteunlock,Stop. Between those trucks down there -- smokes. Go get 'em!
836,JAM ORB / buttersigndown,Butter sign down!
837,JAM ORB / tiretrackstoroof,Tyre tracks leading onto the roof. The slush and rain has almost washed them off.
838,JAM / HUMANITARIAN AID barks,Things Siileng says.
839,JAM / RACIST,You chat up a truck driver of the racist persuasion.
840,VILLAGE / NETPICKER,"You see a middle-aged woman with a tea-length skirt, rubber boots and a rain jacket. Brown, curly hair, a sword on her side. She doesn't notice you."
841,VILLAGE / BOAT,This is the boat you can get from the Net picker. This boat takes you to the Sea Fortress island.VILLAGE ORB / ask boat from netpicker
842,VILLAGE ORB / boat,The underside of the boat has recently been tarred.
843,VILLAGE / JOYCE barks,"Joyce barks for when she's in the village.

I dared not to move it to her actual folder, cause it's already been inputted and I didn't wanna fuck it up."
844,VILLAGE / NETPICKER barks,NETPICKER barking
845,NETHOUSE ORB / home smell,A faint scent of cinnamon still lingers in the air.
846,NETHOUSE ORB / fireplace,Industrial coal pellets burn with an orange glow.
847,NETHOUSE ORB / fireplace phasmid,You think the fire iron is a phasmid.
848,VILLAGE / LITTLE LILY,"One of Netpicker's kids not running around in the village, instead she sits on the sofa. You can exchange a few words with her."
849,VILLAGE / LILIENNES TWINS barks,"Two of Netpicker's kids standing around in the village, shuffling on their feet, kicking rocks and yelling barks or somesuch."
850,VILLAGE ORB / rooftop,Words have been painted on the roof of the building.
851,VILLAGE ORB / aerograffito afterthought,Conceptualization afterthought about the words on the roof!
852,VILLAGE / LILIENNES TWINS,"You can talk to them before and get nothing, but when you hear the twins have been to the island they tell you details about it."
853,NETHOUSE ORB / home smell reaction,It feels safe and warm in here -- not like outside.
854,VILLAGE ORB / illegible street sign,The street sign is illegible below the graffito.
855,VILLAGE ORB / halogen watermarks village,"This is the village version of halogen watermarks, in front of kineema there"
856,VILLAGE ORB / ask boat from netpicker,You should ask the owner before you take this boat to the island.
857,VILLAGE / LILLY SANDCASTLE,"This is the interaction dialogue with Lilly's Little Sandcastle, where she hid the gloves."
858,VILLAGE / lily door closed,This door is closed for today. Time to put the kids to sleep.
859,YARD / CUNO barks,Cuno throws stones and sometimes responds to Cunoesse
860,YARD / CUNOESSE barks,Cunoesse eggs Cuno on.
861,YARD / CUNOESSE,"Talk to Cunoesse to find out she's a girl.

""I have nothing interesting say, talk to Cuno!""

Or approach her from the backyard to catch her off-guard and have something-resembling an actual dialogue with her."
862,YARD / CUNO,"* All greeting except ""Making amends"".
* Throwing up advice.
* Buy pants."
863,YARD / CUNO WHO IS CUNO,"* Who is Cuno?
* Make amends with Cuno."
